# LSTM+CNN FFT Tahmin Sonuçları
# Model: Genişletilmiş (seq96)
# Sequence Length: 96


## apo_yukarı.csv
Satır sayısı: 215744
Tahmin sayısı: 1685
Dağılım: {'yukarı': 1685}
Ortalama güven: 99.4%

Detaylı tahminler:
  48480: yukarı     (100.0%)
  48608: yukarı     (100.0%)
  48736: yukarı     (98.3%)
  48864: yukarı     (98.3%)
  48992: yukarı     (98.3%)
  49120: yukarı     (98.3%)
  49248: yukarı     (99.8%)
  49376: yukarı     (99.8%)
  49504: yukarı     (99.8%)
  49632: yukarı     (99.8%)
  49760: yukarı     (100.0%)
  49888: yukarı     (100.0%)
  50016: yukarı     (100.0%)
  50144: yukarı     (100.0%)
  50272: yukarı     (100.0%)
  50400: yukarı     (100.0%)
  50528: yukarı     (100.0%)
  50656: yukarı     (100.0%)
  50784: yukarı     (99.1%)
  50912: yukarı     (99.1%)
  51040: yukarı     (99.1%)
  51168: yukarı     (99.1%)
  51296: yukarı     (98.2%)
  51424: yukarı     (98.2%)
  51552: yukarı     (98.2%)
  51680: yukarı     (98.2%)
  51808: yukarı     (100.0%)
  51936: yukarı     (100.0%)
  52064: yukarı     (100.0%)
  52192: yukarı     (100.0%)
  52320: yukarı     (98.1%)
  52448: yukarı     (98.1%)
  52576: yukarı     (98.1%)
  52704: yukarı     (98.1%)
  52832: yukarı     (99.4%)
  52960: yukarı     (99.4%)
  53088: yukarı     (99.4%)
  53216: yukarı     (99.4%)
  53344: yukarı     (99.8%)
  53472: yukarı     (99.8%)
  53600: yukarı     (99.8%)
  53728: yukarı     (99.8%)
  53856: yukarı     (99.9%)
  53984: yukarı     (99.9%)
  54112: yukarı     (99.9%)
  54240: yukarı     (99.9%)
  54368: yukarı     (100.0%)
  54496: yukarı     (100.0%)
  54624: yukarı     (100.0%)
  54752: yukarı     (100.0%)
  54880: yukarı     (99.8%)
  55008: yukarı     (99.8%)
  55136: yukarı     (99.8%)
  55264: yukarı     (99.8%)
  55392: yukarı     (99.9%)
  55520: yukarı     (99.9%)
  55648: yukarı     (99.9%)
  55776: yukarı     (99.9%)
  55904: yukarı     (100.0%)
  56032: yukarı     (100.0%)
  56160: yukarı     (100.0%)
  56288: yukarı     (100.0%)
  56416: yukarı     (99.9%)
  56544: yukarı     (99.9%)
  56672: yukarı     (99.9%)
  56800: yukarı     (99.9%)
  56928: yukarı     (99.9%)
  57056: yukarı     (99.9%)
  57184: yukarı     (99.9%)
  57312: yukarı     (99.9%)
  57440: yukarı     (99.9%)
  57568: yukarı     (99.9%)
  57696: yukarı     (99.9%)
  57824: yukarı     (99.9%)
